"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_0302000",165.528657148769,90.7319475828577,334.76983245567,222.058292183548
"PF3D7_0322400",128.284709290296,99.3730854478918,39.8535514828178,124.202095628086
"PF3D7_0304400.1",562.797434305814,782.022976785583,666.882761479151,669.938576418162
"PF3D7_0303300",53.7968135733499,51.8468271902044,103.619233855326,41.4006985426954
"PF3D7_0322100",148.975791433892,99.3730854478918,92.9916201265749,319.91448873901
"PF3D7_0301700",198.634388578523,246.272429153471,148.78659220252,37.6369986751776
"PF3D7_0322900",1357.3349886199,1922.65317497008,985.711173341694,880.705768999157
"PF3D7_0316600",753.155390026898,544.391685497146,722.677733555096,1106.52776105022
"PF3D7_0317000",99.3171942892613,86.4113786503407,116.903751016266,41.4006985426954
"PF3D7_0319700",881.440099317194,803.625821448168,1498.49353575395,1038.7811634349
"PF3D7_0317700",566.935650734533,894.357769031026,648.284437453836,613.483078405396
"PF3D7_0309600",1398.7171529071,2108.43763906831,1543.66089410114,1309.76755389618
"PF3D7_0318600",62.0732464307883,246.272429153471,47.8242617793814,67.7465976153198
"PF3D7_0305200",306.228015725222,626.48249521497,316.171508430355,440.352884499578
"PF3D7_0311200",70.3496792882268,47.5262582576874,42.5104549150057,116.674695893051
"PF3D7_0323800",331.057314297538,328.363238871295,353.368156480985,432.825484764543
"PF3D7_0317300",1767.01841506311,1732.54814193933,1825.29265791306,1893.14103336144
"PF3D7_0317500",202.772605007242,315.401532073743,191.297047117525,383.897386486812
"PF3D7_0313400",153.114007862611,125.296499042994,124.874461312829,440.352884499578
"PF3D7_0306800",1258.01779433064,941.884027288713,781.129609063229,530.681681320005
"PF3D7_0319200",310.366232153942,138.258205840545,151.443495634708,116.674695893051
"PF3D7_0305300",211.04903786468,419.095186454152,560.606624191637,541.972780922558
"PF3D7_0323100",459.342023587834,263.554704883539,231.150598600343,131.729495363122
"PF3D7_0302900",484.171322160149,384.530634994016,496.840941819129,101.61989642298
"PF3D7_0301600",401.406993585765,591.917943754834,223.17988830378,470.462483439721
"PF3D7_0309800",153.114007862611,445.018600049254,71.7363926690721,86.5650969529086
"PF3D7_0323500",103.455410717981,73.4496718527896,31.8828411862542,158.075394435746
"PF3D7_0317600",1071.79805503828,1339.37636908028,725.334636987284,824.25027098639
"PF3D7_0321800",815.228636457687,630.803064147487,765.188188470102,598.428278935325
"PF3D7_0309300",235.878336436996,384.530634994016,249.748922625658,127.965795495604
"PF3D7_0312800",1191.80633147114,1209.75930110477,1596.7989627449,1245.78465614838
"PF3D7_0310300",488.309538588868,311.080963141226,172.698723092211,293.568589666386
"PF3D7_0307200",2652.59673080902,2380.63348181689,3456.6313652764,2668.4632060701
"PF3D7_0312300",148.975791433892,64.8085339877555,135.502075041581,387.66108635433
"PF3D7_0308600",318.64266501138,436.37746218422,175.355626524398,1144.1647597254
"PF3D7_0305500",1973.92923649907,1533.80197104355,1612.74038333803,1885.6136336264
"PF3D7_0314500",78.6261121456652,129.617067975511,45.1673583471935,173.130193905817
"PF3D7_0320900",256.569418580592,280.836980613607,260.37653635441,158.075394435746
"PF3D7_0322000",782.122905027933,1015.3336991415,1272.65674401798,989.853065157172
"PF3D7_0319600",302.089799296503,397.492341791567,265.690343218785,255.931590991208
"PF3D7_0309500",413.821642871922,349.96608353388,704.079409529781,493.044682644827
"PF3D7_0310200",1601.48975791434,1369.6203516079,1567.57302499083,1975.94243044683
"PF3D7_0307800",91.0407614318229,349.96608353388,50.4811652115692,199.476092978442
"PF3D7_0318300",310.366232153942,388.851203926533,685.481085504466,361.315187281705
"PF3D7_0303000",318.64266501138,95.0525165153747,100.962330423138,82.8013970853908
"PF3D7_0315100",86.9025450031037,120.975930110477,159.414205931271,161.839094303264
